School.Name	State	Admin2011	Tuition2011	AdminperDollar
Northwood University-Michigan	Michigan	163	20859.1855157686	0.00781430319399476
Marymount University	Virginia	194	24828.023594042	0.00781375123417211
Oklahoma City University	Oklahoma	222	28482.0060418886	0.00779439480749717
Gannon University	Pennsylvania	206	26433.3730254939	0.00779317871394322
The College of Saint Rose	New York	205	26373.3018854783	0.00777301230199308
City Colleges of Chicago-Richard J Daley College	Illinois	45	5807.22210461344	0.00774897174403758
Freed-Hardeman University	Tennessee	136	17690.9507346	0.00768754613815135
St Mary's College of Maryland	Maryland	115	14960.8209918211	0.00768674393356279
Oberlin College	Ohio	344	44752.9993116367	0.00768663565104458
Fairfield University	Connecticut	323	42029.0838247215	0.00768515443608151
Lincoln Memorial University	Tennessee	141	18352.7689840824	0.00768276438952024
Faulkner University	Alabama	126	16447.0638525524	0.00766094186351967
The Southern Baptist Theological Seminary	Kentucky	106	13847.433482911	0.00765484810819377
Loyola University Maryland	Maryland	324	42329.4395247996	0.00765424734268399
University of Pittsburgh-Johnstown	Pennsylvania	99	12975.3662433739	0.00762984243705309
California Baptist University	California	203	26729.5858883295	0.00759458080825084
University of Scranton	Pennsylvania	283	37277.2495076239	0.00759176183162659
Roger Williams University	Rhode Island	243	32011.7033724616	0.00759097375021422
Trinity University	Texas	246	32475.7011436167	0.00757489419280336
University of New Haven	Connecticut	249	32883.7706119987	0.007572124344802
Baldwin Wallace University	Ohio	207	27338.5829629706	0.00757171651070488
University of Bridgeport	Connecticut	214	28305.9354590842	0.00756025181747953
Hamline University	Minnesota	249	33136.4836837886	0.00751437606887115
Bay de Noc Community College	Michigan	44	5874.54320980336	0.007489944056684
Davidson College	North Carolina	298	40253.8780663289	0.00740301343162431
Kishwaukee College	Illinois	73	9880.66682325883	0.00738816532383826
The University of Findlay	Ohio	215	29107.5744654996	0.00738639354010186
Morehouse College	Georgia	182	24641.5959181314	0.00738588525697247
Limestone College	South Carolina	152	20714.1862122827	0.00733796628273383
Babson College	Massachusetts	305	41842.656148811	0.0072892122076401
Siena College	New York	221	30341.104254441	0.00728384827878017
University of Maine at Presque Isle	Maine	55	7560.67796748317	0.00727447991258761
Culinary Institute of America	New York	195	27114.869751878	0.00719162591538889
Point Loma Nazarene University	California	210	29320.9305834861	0.00716211920362018
Mercyhurst University	Pennsylvania	205	28644.6124036551	0.00715666866464012
Wesleyan University	Connecticut	323	45233.5684317616	0.00714071454449301
Lyndon State College	Vermont	70	9806.09575289461	0.00713841693615291
John Brown University	Arkansas	153	21507.5395442131	0.0071137844329184
Carlow University	Pennsylvania	173	24343.3116366746	0.00710667482641785
Wilkes University	Pennsylvania	207	29217.3596524247	0.00708482910374215
Jacksonville University	Florida	204	28896.2897661343	0.00705972987020232
Furman University	South Carolina	289	40972.6603278951	0.00705348390090361
Norwich University	Vermont	220	31272.2069246831	0.00703500077656349
University of Minnesota-Morris	Minnesota	88	12522.7612746355	0.00702720415011357
Saint Edward's University	Texas	208	29724.8572146256	0.00699751048417676
Johnson State College	Vermont	67	9806.09575289461	0.00683248478174636
Stevens Institute of Technology	New Jersey	295	43274.0064160797	0.00681702537924439
Tiffin University	Ohio	134	19806.9048561847	0.00676531749775931
Southwestern Assemblies of God University	Texas	110	16291.7074559603	0.00675190125389568
Widener University-Main Campus	Pennsylvania	243	36003.3270555685	0.00674937623472818
Pennsylvania State University-Penn State Altoona	Pennsylvania	95	14122.9321595343	0.00672664846979853
University of La Verne	California	218	32417.7014222224	0.00672472107632409
Saint Augustine College	Illinois	61	9072.8135609798	0.00672338294951279
University of Pittsburgh-Bradford	Pennsylvania	87	12942.2235454342	0.00672218337865846
Dominican University	Illinois	185	27560.2247554421	0.00671257225373206
